0   1
1	905
1	989
1	993
2	820
2	962
2	982
3	803
3	937
3	980
4	948
4	960
4	962
5	62
5	84
5	226
6	950
6	980
6	993
7	971
7	972
7	996
8	978
8	983
8	995
9	352
9	695
9	914
10	287
10	684
10	795
11	990
11	995
11	999
12	767
12	950
12	997
13	419
13	878
13	950
14	922
14	989
14	993
15	61
15	990
15	999
16	984
16	996
16	1000
17	945
17	959
17	982
18	464
18	657
18	969
19	581
19	897
19	933
20	333
20	474
20	500
21	946
21	968
21	999
22	817
22	943
22	994
23	571
23	779
23	906
24	951
24	989
24	993
25	314
25	965
25	967
26	791
26	919
26	990
27	937
27	991
27	994
28	803
28	957
28	997
29	866
29	988
29	999
30	621
30	960
30	962
31	949
31	978
31	983
32	979
32	989
32	993
33	275
33	579
33	936
34	797
34	986
34	1000
35	957
35	973
35	998
36	956
36	978
36	995
37	895
37	991
37	994
38	960
38	961
38	962
39	950
39	972
39	999
40	75
40	824
40	863
41	744
41	783
41	997
42	942
42	981
42	989
43	602
43	974
43	981
44	928
44	943
44	996
45	922
45	955
45	996
46	554
46	823
46	984
47	965
47	983
47	995
48	938
48	985
48	992
49	977
49	980
49	997
50	226
50	510
50	996
51	944
51	975
51	1000
52	803
52	891
52	997
53	862
53	882
53	914
54	987
54	988
54	999
55	904
55	909
55	990
56	946
56	987
56	999
57	944
57	991
57	994
58	880
58	904
58	952
59	331
59	482
59	823
60	952
60	960
60	962
61	15
61	992
61	998
62	5
62	344
62	738
63	990
63	998
63	999
64	981
64	985
64	993
65	700
65	863
65	983
66	987
66	990
66	999
67	938
67	966
67	998
68	906
68	972
68	997
69	968
69	990
69	999
70	345
70	425
70	439
71	915
71	922
71	952
72	147
72	200
72	676
73	362
73	628
73	789
74	458
74	943
74	996
75	40
75	299
75	914
76	949
76	978
76	995
77	985
77	992
77	998
78	834
78	886
78	996
79	881
79	886
79	964
80	965
80	995
80	997
81	821
81	960
81	962
82	146
82	659
82	701
83	971
83	984
83	996
84	5
84	874
84	997
85	932
85	959
85	982
86	921
86	924
86	959
87	230
87	987
87	999
88	190
88	533
88	886
89	794
89	915
89	952
90	927
90	981
90	995
91	955
91	976
91	996
92	918
92	947
92	1000
93	122
93	474
93	500
94	576
94	703
94	769
95	589
95	728
95	769
96	764
96	771
96	919
97	915
97	922
97	952
98	831
98	922
98	952
99	960
99	961
99	962
100	876
100	952
100	998
101	929
101	970
101	975
102	640
102	805
102	997
103	804
103	882
103	950
104	953
104	959
104	982
105	976
105	986
105	1000
106	260
106	331
106	482
107	178
107	989
107	993
108	987
108	988
108	999
109	948
109	987
109	990
110	341
110	707
110	791
111	612
111	973
111	992
112	193
112	271
112	717
113	830
113	991
113	994
114	827
114	881
114	886
115	858
115	872
115	884
116	981
116	989
116	993
117	969
117	979
117	993
118	754
118	945
118	994
119	619
119	882
119	914
120	381
120	979
120	989
121	731
121	739
121	975
122	93
122	957
122	997
123	911
123	961
123	975
124	892
124	922
124	952
125	854
125	925
125	992
126	742
126	881
126	886
127	851
127	880
127	993
128	284
128	499
128	521
129	814
129	980
129	997
130	988
130	990
130	999
131	275
131	294
131	692
132	979
132	988
132	999
133	154
133	973
133	998
134	278
134	982
134	997
135	742
135	748
135	831
136	875
136	991
136	994
137	234
137	743
137	984
138	468
138	970
138	975
139	934
139	937
139	998
140	252
140	960
140	971
141	830
141	903
141	957
142	785
142	823
142	996
143	399
143	872
143	924
144	963
144	983
144	995
145	258
145	382
145	996
146	82
146	522
146	585
147	72
147	986
147	1000
148	541
148	735
148	897
149	948
149	959
149	982
150	908
150	944
150	965
151	968
151	987
151	990
152	486
152	992
152	998
153	721
153	828
153	920
154	133
154	499
154	521
155	828
155	991
155	994
156	955
156	984
156	996
157	862
157	912
157	995
158	519
158	957
158	996
159	901
159	944
159	982
160	932
160	973
160	998
161	396
161	626
161	982
162	700
162	986
162	1000
163	863
163	965
163	995
164	972
164	977
164	997
165	633
165	768
165	886
166	403
166	874
166	997
167	765
167	976
167	1000
168	976
168	997
168	1000
169	689
169	784
169	912
170	774
170	960
170	962
171	186
171	949
171	995
172	985
172	989
172	993
173	973
173	992
173	998
174	638
174	750
174	999
175	986
175	990
175	1000
176	873
176	986
176	1000
177	976
177	986
177	1000
178	107
178	947
178	1000
179	610
179	880
179	952
180	965
180	983
180	995
181	938
181	969
181	989
182	895
182	936
182	994
183	727
183	928
183	996
184	482
184	695
184	795
185	965
185	988
185	999
186	171
186	800
186	982
187	755
187	987
187	999
188	925
188	997
